1		3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	
				Deklarationen SPS	1114																																								
Version	c	AG	Gewerk	Symbol	Typ	Objekt/Bereich	Kommentar	Zusatzkommentar	dez. Peripherie	Peripherie/Quelle	Konditionierung	Signalart	Priorität	Startwert	Bereich min	Bereich max	Einheit	DB	DBB	DBX	ParseCode	Objekt	Objektdeklaration	Symbolkommentar	Symbol	Datentyp	Gruppe	Adresse	ALG Meldenummer	ALG Variable	ALG BitNr	ALG Meldeklasse	ALG Meldeart	ALG Meldegruppe	ALG Meldetext	ALG Störort	ALG MSR	ALG Zusatztext	ALG Prozesswert	ALG Einzelquit	ALG Group Name	ALG Group VarState	ALG Group VarQuit	ALG Group Dekl	Bemerkung
1		ZEN	Ablauf	EW_Ablauf_pH	WORD	Ablauf - pH-Wert	Messwert von analoger Peripherie			EW 264		RWi						DB112	8	0		Ablauf_pH																							
1		ZEN	Ablauf	EW_Ablauf_O2	WORD	Ablauf - O2-Gehalt	Messwert von analoger Peripherie			EW 266		RWi						DB112	10	0		Ablauf_O2																							
1		ZEN	Ablauf	EW_Ablauf_Temp	WORD	Ablauf - Temperatur	Messwert von analoger Peripherie			EW 268		RWi						DB112	12	0		Ablauf_Temp																							
1		ZEN	Belebung	EW_BB_UeSS_DF	WORD	Becken 1+2 - Ablauf ÜSS - Durchfluss	Messwert von analoger Peripherie			EW 270		RWi						DB112	14	0		BB_UeSS_DF																							
1		ZEN	Zulauf	EW_Zulauf_DF	WORD	Zulauf - Rechen - Durchfluss	Messwert von analoger Peripherie			EW 320		RWi						DB112	16	0		Zulauf_DF																							
1		ZEN	Zulauf	EW_Zulauf_Niv	WORD	Zulauf - Vorlagebehälter - Niveau	Messwert von analoger Peripherie			EW 322		RWi						DB112	18	0																									
1		ZEN	Zulauf	EW_Verteiler_pH	WORD	Zulauf - Verteiler - pH-Wert	Messwert von analoger Peripherie			EW 324		RWi						DB112	20	0																									
10.11.2025		ZEN	Zulauf	EW_Verteiler_O2	WORD	Zulauf - Verteiler  - CSB-Gehalt	Messwert von analoger Peripherie			EW 326		RWi						DB112	22	0																									
1		ZEN	Zulauf	EW_Verteiler_Temp	WORD	Zulauf - Verteiler - Temperatur	Messwert von analoger Peripherie			EW 328		RWi						DB112	24	0																									
1		ZEN		EW_ZEN_Res_330	WORD		Reserve			EW 330		RWi						DB112	26	0																									
1		ZEN		EW_ZEN_Res_332	WORD		Reserve			EW 332		RWi						DB112	28	0																									
1		ZEN		EW_ZEN_Res_334	WORD		Reserve			EW 334		RWi						DB112	30	0																									
1		ZEN	Belebung	E_BB_G1_Ein	BOOL	Belebung - Gebläse 1	Betrieb		3	E 12.0		M	B					DB100	4	0		BB_G1	KAO_BB_G1	32924		Vorzeichenloser 8-Bit Wert	ZEN_Meldungen	DB100,DBB4	10032	KAO_ZEN_DB100_DBB4	0	Information	Betrieb	KAO_BB_G1_ALG_GRP	Belebung - Gebläse 1 - Betrieb	Belebung	BB_G1	E 12.0	33074			KAO_BB_G1_ALG_GRP_S	KAO_BB_G1_ALG_GRP_Q	x	
1		ZEN	Belebung	E_BB_G1_St	BOOL	Belebung - Gebläse 1	Störung		3	E 12.1		M	S2					DB100	4	1		BB_G1	KAO_BB_G1	10033						KAO_ZEN_DB100_DBB4	1	Störung	Fehler	KAO_BB_G1_ALG_GRP	Belebung - Gebläse 1 - Störung	Belebung	BB_G1	E 12.1	33074			KAO_BB_G1_ALG_GRP_S	KAO_BB_G1_ALG_GRP_Q		
1		ZEN	Belebung	E_BB_G1_Bed_vOrt	BOOL	Belebung - Gebläse 1	vor-Ort-Hand		3	E 12.2		M	U					DB100	4	2		BB_G1	KAO_BB_G1	10034						KAO_ZEN_DB100_DBB4	2	Information	Operation	KAO_BB_G1_ALG_GRP	Belebung - Gebläse 1 - vor-Ort-Hand	Belebung	BB_G1	E 12.2	33074			KAO_BB_G1_ALG_GRP_S	KAO_BB_G1_ALG_GRP_Q		
1		ZEN	Belebung	E_BB_G1_Bed_Fern	BOOL	Belebung - Gebläse 1	vor-Ort-Fern		3	E 12.3		M	U					DB100	4	3		BB_G1	KAO_BB_G1	10035						KAO_ZEN_DB100_DBB4	3	Information	Operation	KAO_BB_G1_ALG_GRP	Belebung - Gebläse 1 - vor-Ort-Fern	Belebung	BB_G1	E 12.3	33074			KAO_BB_G1_ALG_GRP_S	KAO_BB_G1_ALG_GRP_Q		
1		ZEN	Belebung	E_BB_G1_AF_St	BOOL	Belebung - Gebläse 1	Steuersicherung ausgelöst		3	E 12.4	i	M	S2					DB100	4	4		BB_G1	KAO_BB_G1	10036						KAO_ZEN_DB100_DBB4	4	Störung	Fehler	KAO_BB_G1_ALG_GRP	Belebung - Gebläse 1 - Steuersicherung ausgelöst	Belebung	BB_G1	E 12.4	33074			KAO_BB_G1_ALG_GRP_S	KAO_BB_G1_ALG_GRP_Q		
1		ZEN	Belebung	E_BB_SHL_G1_Ein	BOOL	Belebung - Schallhaubenlüfter Gebläse 1	Betrieb		3	E 12.5		M	B					DB100	4	5		BB_SHL_G1	KAO_BB_SHL_G1	10037						KAO_ZEN_DB100_DBB4	5	Information	Betrieb	KAO_BB_SHL_G1_ALG_GRP	Belebung - Schallhaubenlüfter Gebläse 1 - Betrieb	Belebung	BB_SHL_G1	E 12.5	33084			KAO_BB_SHL_G1_ALG_GRP_S	KAO_BB_SHL_G1_ALG_GRP_Q	x	
1		ZEN	Belebung	E_BB_SHL_G1_St	BOOL	Belebung - Schallhaubenlüfter Gebläse 1	Störung		3	E 12.6		M	S2					DB100	4	6		BB_SHL_G1	KAO_BB_SHL_G1	10038						KAO_ZEN_DB100_DBB4	6	Störung	Fehler	KAO_BB_SHL_G1_ALG_GRP	Belebung - Schallhaubenlüfter Gebläse 1 - Störung	Belebung	BB_SHL_G1	E 12.6	33084			KAO_BB_SHL_G1_ALG_GRP_S	KAO_BB_SHL_G1_ALG_GRP_Q		
1		ZEN	Belebung	E_BB_G2_Ein	BOOL	Belebung - Gebläse 2	Betrieb		3	E 12.7		M	B					DB100	4	7		BB_G2	KAO_BB_G2	10039						KAO_ZEN_DB100_DBB4	7	Information	Betrieb	KAO_BB_G2_ALG_GRP	Belebung - Gebläse 2 - Betrieb	Belebung	BB_G2	E 12.7	33090			KAO_BB_G2_ALG_GRP_S	KAO_BB_G2_ALG_GRP_Q	x	
1		ZEN	Belebung	E_BB_G2_St	BOOL	Belebung - Gebläse 2	Störung		3	E 13.0		M	S2					DB100	5	0		BB_G2	KAO_BB_G2	33078		Vorzeichenloser 8-Bit Wert	ZEN_Meldungen	DB100,DBB5	10040	KAO_ZEN_DB100_DBB5	0	Störung	Fehler	KAO_BB_G2_ALG_GRP	Belebung - Gebläse 2 - Störung	Belebung	BB_G2	E 13.0	33090			KAO_BB_G2_ALG_GRP_S	KAO_BB_G2_ALG_GRP_Q		
1		ZEN	Belebung	E_BB_G2_Bed_vOrt	BOOL	Belebung - Gebläse 2	vor-Ort-Hand		3	E 13.1		M	U					DB100	5	1		BB_G2	KAO_BB_G2	10041						KAO_ZEN_DB100_DBB5	1	Information	Operation	KAO_BB_G2_ALG_GRP	Belebung - Gebläse 2 - vor-Ort-Hand	Belebung	BB_G2	E 13.1	33090			KAO_BB_G2_ALG_GRP_S	KAO_BB_G2_ALG_GRP_Q		
1		ZEN	Belebung	E_BB_G2_Bed_Fern	BOOL	Belebung - Gebläse 2	vor-Ort-Fern		3	E 13.2		M	U					DB100	5	2		BB_G2	KAO_BB_G2	10042						KAO_ZEN_DB100_DBB5	2	Information	Operation	KAO_BB_G2_ALG_GRP	Belebung - Gebläse 2 - vor-Ort-Fern	Belebung	BB_G2	E 13.2	33090			KAO_BB_G2_ALG_GRP_S	KAO_BB_G2_ALG_GRP_Q		
1		ZEN	Belebung	E_BB_G2_AF_St	BOOL	Belebung - Gebläse 2	Steuersicherung ausgelöst		3	E 13.3	i	M	S2					DB100	5	3		BB_G2	KAO_BB_G2	10043						KAO_ZEN_DB100_DBB5	3	Störung	Fehler	KAO_BB_G2_ALG_GRP	Belebung - Gebläse 2 - Steuersicherung ausgelöst	Belebung	BB_G2	E 13.3	33090			KAO_BB_G2_ALG_GRP_S	KAO_BB_G2_ALG_GRP_Q		
1		ZEN	Belebung	E_BB_SHL_G2_Ein	BOOL	Belebung - Schallhaubenlüfter Gebläse 2	Betrieb		3	E 13.4		M	B					DB100	5	4		BB_SHL_G2	KAO_BB_SHL_G2	10044						KAO_ZEN_DB100_DBB5	4	Information	Betrieb	KAO_BB_SHL_G2_ALG_GRP	Belebung - Schallhaubenlüfter Gebläse 2 - Betrieb	Belebung	BB_SHL_G2	E 13.4	33100			KAO_BB_SHL_G2_ALG_GRP_S	KAO_BB_SHL_G2_ALG_GRP_Q	x	
1		ZEN	Belebung	E_BB_SHL_G2_St	BOOL	Belebung - Schallhaubenlüfter Gebläse 2	Störung		3	E 13.5		M	S2					DB100	5	5		BB_SHL_G2	KAO_BB_SHL_G2	10045						KAO_ZEN_DB100_DBB5	5	Störung	Fehler	KAO_BB_SHL_G2_ALG_GRP	Belebung - Schallhaubenlüfter Gebläse 2 - Störung	Belebung	BB_SHL_G2	E 13.5	33100			KAO_BB_SHL_G2_ALG_GRP_S	KAO_BB_SHL_G2_ALG_GRP_Q		
1		ZEN	Belebung	E_BB_G3_Ein	BOOL	Belebung - Gebläse 3	Betrieb		3	E 13.6		M	B					DB100	5	6		BB_G3	KAO_BB_G3	10046						KAO_ZEN_DB100_DBB5	6	Information	Betrieb	KAO_BB_G3_ALG_GRP	Belebung - Gebläse 3 - Betrieb	Belebung	BB_G3	E 13.6	33106			KAO_BB_G3_ALG_GRP_S	KAO_BB_G3_ALG_GRP_Q	x	
1		ZEN	Belebung	E_BB_G3_St	BOOL	Belebung - Gebläse 3	Störung		3	E 13.7		M	S2					DB100	5	7		BB_G3	KAO_BB_G3	10047						KAO_ZEN_DB100_DBB5	7	Störung	Fehler	KAO_BB_G3_ALG_GRP	Belebung - Gebläse 3 - Störung	Belebung	BB_G3	E 13.7	33106			KAO_BB_G3_ALG_GRP_S	KAO_BB_G3_ALG_GRP_Q		
1		ZEN	Belebung	E_BB_G3_Bed_vOrt	BOOL	Belebung - Gebläse 3	vor-Ort-Hand		3	E 14.0		M	U					DB100	6	0		BB_G3	KAO_BB_G3	33095		Vorzeichenloser 8-Bit Wert	ZEN_Meldungen	DB100,DBB6	10048	KAO_ZEN_DB100_DBB6	0	Information	Operation	KAO_BB_G3_ALG_GRP	Belebung - Gebläse 3 - vor-Ort-Hand	Belebung	BB_G3	E 14.0	33106			KAO_BB_G3_ALG_GRP_S	KAO_BB_G3_ALG_GRP_Q		
1		ZEN	Belebung	E_BB_G3_Bed_Fern	BOOL	Belebung - Gebläse 3	vor-Ort-Fern		3	E 14.1		M	U					DB100	6	1		BB_G3	KAO_BB_G3	10049						KAO_ZEN_DB100_DBB6	1	Information	Operation	KAO_BB_G3_ALG_GRP	Belebung - Gebläse 3 - vor-Ort-Fern	Belebung	BB_G3	E 14.1	33106			KAO_BB_G3_ALG_GRP_S	KAO_BB_G3_ALG_GRP_Q		
1		ZEN	Belebung	E_BB_G3_AF_St	BOOL	Belebung - Gebläse 3	Steuersicherung ausgelöst		3	E 14.2	i	M	S2					DB100	6	2		BB_G3	KAO_BB_G3	10050						KAO_ZEN_DB100_DBB6	2	Störung	Fehler	KAO_BB_G3_ALG_GRP	Belebung - Gebläse 3 - Steuersicherung ausgelöst	Belebung	BB_G3	E 14.2	33106			KAO_BB_G3_ALG_GRP_S	KAO_BB_G3_ALG_GRP_Q		
